k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,1.0,0.0,82775.6171875
10,1.0,0.0,193679.265625
15,1.0,0.0,117813.9296875
20,1.0,0.0,452311.40625
30,1.0,0.0,722584.125
40,1.0,0.0,138636.015625
