k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.88,0.84,75.70135498046875
10,0.88,0.72,76.15391540527344
15,0.88,0.64,83.32173919677734
20,0.88,0.08,86.86266326904297
30,0.88,0.0,122.63677978515625
40,0.88,0.0,183.01690673828125
