extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent
16,all,28,0.1,0.88,17.602073669433594,-2.042577916729956,True
16,all,28,0.2,0.72,17.667179107666016,-1.6802591915263232,True
16,all,28,0.4,0.56,17.827314376831055,-0.7890892960578334,True
16,extract,1,1.0,0.6,17.488330841064453,-2.675568918628165,True
22,all,28,0.1,0.96,18.007375717163086,0.21297131606274375,True
22,all,28,0.2,0.84,18.159460067749023,1.0593369887889665,True
22,all,28,0.4,0.76,18.406801223754883,2.435816969071287,True
22,extract,1,1.0,0.72,17.943262100219727,-0.14382781761613725,True
