label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k
lora_k1,0.0,0.04,18.550180435180664,25,50,1
lora_k3,0.0,0.0,17.991830825805664,25,50,3
lora_k5,0.0,0.0,17.980579376220703,25,50,5
lora_k10,0.0,0.0,17.947526931762695,25,50,10
