label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,0.96,0.72,17.969106674194336,25,50,0.0
steering,0.56,0.24,17.827314376831055,25,50,-0.7890892960578334
lora_k1,0.0,0.04,18.550180435180664,25,50,3.233737611568724
lora_k3,0.0,0.0,17.991830825805664,25,50,0.12646233351134015
lora_k5,0.0,0.0,17.980579376220703,25,50,0.06384681350266166
lora_k10,0.0,0.0,17.947526931762695,25,50,-0.12009357405970308
