label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,0.96,0.72,17.967979431152344,25,50,0.0
steering,0.2,0.12,17.493146896362305,25,50,-2.642659607940048
lora_k1,0.0,0.04,18.566205978393555,25,50,3.3294035622281695
lora_k3,0.04,0.0,18.216590881347656,25,50,1.38363610192183
lora_k5,0.0,0.0,17.970230102539062,25,50,0.012526012706896822
lora_k10,0.0,0.0,17.939895629882812,25,50,-0.1562991619460583
