extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent,split
16,all,28,0.05,0.9111111111111111,17.687088012695312,-1.5632888468807469,True,val
16,all,28,0.1,0.8666666666666667,17.628746032714844,-1.8879885728795265,True,val
16,all,28,0.2,0.7777777777777778,17.716331481933594,-1.400535603811135,True,val
16,all,28,0.4,0.5555555555555556,17.890792846679688,-0.429578544256526,True,val
16,frac0.4-0.8,12,1.0,0.3111111111111111,17.52579689025879,-2.4609475015699975,True,val
16,extract,1,1.0,0.6444444444444445,17.520532608032227,-2.490245632986129,True,val
22,all,28,0.05,0.9777777777777777,17.86931037902832,-0.5491382740173555,True,val
22,all,28,0.1,0.9555555555555556,17.915660858154297,-0.2911767191103219,True,val
22,all,28,0.2,0.9555555555555556,18.11678123474121,0.8281498994309794,True,val
22,all,28,0.4,0.9111111111111111,18.427776336669922,2.558979473898974,True,val
22,frac0.4-0.8,12,1.0,0.8444444444444444,18.385160446166992,2.3218026078733844,True,val
22,extract,1,1.0,0.9333333333333333,17.83936882019043,-0.7157767040791067,True,val
