component,layer,head,delta_margin
resid_pre,0,,-4.754858016967773
resid_pre,1,,-5.673344612121582
resid_pre,2,,-5.610077857971191
resid_pre,3,,-5.63404655456543
resid_pre,4,,-5.270397186279297
resid_pre,5,,-4.658354759216309
resid_pre,6,,-4.490572929382324
resid_pre,7,,-3.6060352325439453
resid_pre,8,,-3.5372819900512695
resid_pre,9,,-4.7101640701293945
resid_pre,10,,-2.6717910766601562
resid_pre,11,,-2.205174446105957
resid_pre,12,,-1.8510551452636719
resid_pre,13,,-1.4971933364868164
resid_pre,14,,0.4062080383300781
resid_pre,15,,0.15854930877685547
resid_pre,16,,0.5718479156494141
resid_pre,17,,0.26511096954345703
resid_pre,18,,0.38774871826171875
resid_pre,19,,-0.197479248046875
resid_pre,20,,-0.32980918884277344
resid_pre,21,,0.2505922317504883
resid_pre,22,,0.02320384979248047
resid_pre,23,,-0.04654216766357422
resid_pre,24,,0.0782318115234375
resid_pre,25,,-0.8942098617553711
