k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.44,0.0,73.54334259033203
10,0.44,0.0,192.21554565429688
15,0.44,0.0,92823.1875
20,0.44,0.04,8775.3623046875
30,0.44,0.0,28144824.0
40,0.44,0.0,15659546.0
