extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent
14,all,24,0.1,0.64,32.94761276245117,0.5609722758771326,True
14,all,24,0.2,0.6,33.07030487060547,0.9354466809130642,True
14,all,24,0.4,0.44,33.21797180175781,1.3861479282762115,True
14,extract,1,1.0,0.32,32.83401107788086,0.21424318400230624,True
19,all,24,0.1,0.64,34.253562927246094,4.546924741158233,True
19,all,24,0.2,0.56,35.55204772949219,8.510091819172745,True
19,all,24,0.4,0.52,37.89567184448242,15.663178185454191,True
19,extract,1,1.0,0.56,34.3217887878418,4.7551601275981685,True
