k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.88,0.84,18.881444931030273
10,0.88,0.44,19.436901092529297
15,0.88,0.24,20.05227279663086
20,0.88,0.28,20.544832229614258
30,0.88,0.6,21.0383243560791
40,0.88,0.32,22.342605590820312
