component,layer,head,abs_delta
z,5,2,0.01171875
z,6,4,0.01171875
z,0,22,0.01171875
z,6,1,0.01171875
z,5,8,0.011474609375
z,7,0,0.011474609375
z,7,8,0.011474609375
z,8,11,0.011474609375
z,8,12,0.011474609375
z,5,25,0.011474609375
z,9,1,0.011474609375
z,10,22,0.011474609375
z,9,28,0.011474609375
z,0,9,0.01123046875
z,6,3,0.01123046875
z,8,26,0.01123046875
z,11,26,0.01123046875
z,10,4,0.010986328125
z,9,26,0.010986328125
z,5,30,0.010986328125
z,9,7,0.010986328125
z,9,27,0.010986328125
z,5,22,0.010986328125
z,14,22,0.010986328125
z,13,26,0.010986328125
z,7,17,0.010986328125
z,7,26,0.0107421875
z,6,6,0.0107421875
z,15,20,0.0107421875
z,6,8,0.0107421875
z,8,16,0.0107421875
z,6,18,0.0107421875
z,6,12,0.0107421875
z,17,18,0.010498046875
z,10,2,0.010498046875
z,7,5,0.010498046875
z,6,19,0.010498046875
z,10,6,0.010498046875
z,6,10,0.010498046875
z,6,16,0.010498046875
z,7,16,0.010498046875
z,6,2,0.01025390625
z,7,28,0.01025390625
z,7,11,0.01025390625
z,0,26,0.01025390625
z,6,14,0.01025390625
z,10,9,0.01025390625
z,5,13,0.01025390625
z,8,15,0.01025390625
z,6,21,0.01025390625
z,7,6,0.01025390625
z,7,15,0.010009765625
z,8,18,0.010009765625
z,6,29,0.010009765625
z,8,21,0.010009765625
z,7,24,0.010009765625
z,11,8,0.010009765625
z,10,29,0.010009765625
z,5,3,0.010009765625
z,11,5,0.009765625
z,9,31,0.009765625
z,7,25,0.009765625
z,7,12,0.009765625
z,10,23,0.009765625
z,9,3,0.009765625
z,8,14,0.009765625
z,8,9,0.009521484375
z,10,3,0.009521484375
z,13,0,0.009521484375
z,10,5,0.009521484375
z,7,20,0.00927734375
z,7,9,0.00927734375
z,8,29,0.00927734375
z,16,4,0.00927734375
z,10,10,0.00927734375
z,13,3,0.00927734375
z,10,16,0.00927734375
z,5,19,0.00927734375
z,6,26,0.009033203125
z,14,17,0.009033203125
z,11,13,0.009033203125
z,11,4,0.009033203125
z,15,1,0.009033203125
z,9,13,0.009033203125
z,11,29,0.009033203125
z,13,9,0.0087890625
z,7,30,0.0087890625
z,15,21,0.0087890625
z,11,2,0.0087890625
z,8,31,0.0087890625
z,13,19,0.0087890625
z,14,30,0.0087890625
z,8,2,0.0087890625
z,8,7,0.0087890625
z,8,13,0.0087890625
z,10,24,0.008544921875
z,9,9,0.008544921875
z,17,17,0.008544921875
z,13,29,0.008544921875
z,11,1,0.008544921875
z,27,11,0.008544921875
z,12,0,0.008544921875
z,11,10,0.008544921875
z,10,17,0.008544921875
z,10,19,0.008544921875
z,10,18,0.008544921875
z,23,10,0.008544921875
z,8,0,0.008544921875
z,6,31,0.008544921875
z,7,4,0.008544921875
z,24,16,0.008544921875
z,9,18,0.008544921875
z,8,30,0.00830078125
z,20,21,0.00830078125
z,6,13,0.00830078125
z,22,7,0.00830078125
z,9,4,0.00830078125
z,9,17,0.00830078125
z,18,31,0.00830078125
z,7,2,0.00830078125
z,10,13,0.00830078125
z,13,5,0.00830078125
z,11,14,0.00830078125
z,31,10,0.008056640625
z,10,27,0.008056640625
z,9,11,0.008056640625
z,9,2,0.008056640625
z,17,3,0.008056640625
z,8,4,0.008056640625
z,8,22,0.008056640625
z,11,15,0.008056640625
z,10,14,0.008056640625
z,6,30,0.008056640625
z,10,25,0.008056640625
z,15,25,0.008056640625
z,16,31,0.008056640625
z,7,3,0.008056640625
z,26,4,0.008056640625
z,7,27,0.0078125
z,31,15,0.0078125
z,6,9,0.0078125
z,8,28,0.0078125
z,24,9,0.0078125
z,8,8,0.0078125
z,17,2,0.0078125
z,9,21,0.0078125
z,21,9,0.0078125
z,9,30,0.0078125
z,15,22,0.0078125
z,10,28,0.0078125
z,10,26,0.0078125
z,16,3,0.0078125
z,10,11,0.0078125
z,15,8,0.0078125
z,16,25,0.0078125
z,14,13,0.0078125
z,11,0,0.0078125
z,11,12,0.0078125
z,11,17,0.0078125
z,12,3,0.0078125
z,24,14,0.007568359375
z,10,0,0.007568359375
z,15,5,0.007568359375
z,11,20,0.007568359375
z,13,12,0.007568359375
z,12,8,0.007568359375
z,10,8,0.007568359375
z,15,14,0.007568359375
z,10,1,0.007568359375
z,13,25,0.007568359375
z,12,10,0.007568359375
z,10,21,0.007568359375
z,21,18,0.007568359375
z,21,28,0.007568359375
z,15,24,0.007568359375
z,15,26,0.007568359375
z,18,1,0.007568359375
z,12,26,0.007568359375
z,11,3,0.007568359375
z,12,27,0.007568359375
z,11,18,0.007568359375
z,20,18,0.007568359375
z,10,31,0.007568359375
z,17,30,0.007568359375
z,15,31,0.007568359375
z,16,5,0.007568359375
z,10,30,0.007568359375
z,23,13,0.00732421875
z,16,2,0.00732421875
z,19,11,0.00732421875
z,18,7,0.00732421875
z,11,11,0.00732421875
z,13,20,0.00732421875
z,14,23,0.00732421875
z,15,2,0.00732421875
z,12,1,0.00732421875
z,14,24,0.00732421875
z,11,25,0.00732421875
z,24,22,0.00732421875
z,14,5,0.00732421875
