label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,0.96,0.96,24.655845642089844,25,50,0.0
steering,0.92,0.82,24.65935516357422,25,50,0.01423403413259498
lora_k1,0.0,0.0,24.76592254638672,25,50,0.4464535749240877
lora_k3,0.0,0.0,25.661083221435547,25,50,4.077076057085903
lora_k5,0.0,0.0,25.653112411499023,25,50,4.0447477806510586
lora_k10,0.0,0.0,25.77898597717285,25,50,4.555269980948054
