label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,0.88,0.42,31.66014289855957,25,50,0.0
steering,0.48,0.26,33.730735778808594,25,50,6.540061701184642
lora_k1,0.16,0.04,32.30009078979492,25,50,2.0213044940629974
lora_k3,0.0,0.0,32.27019119262695,25,50,1.926865257753268
lora_k5,0.0,0.0,32.420372009277344,25,50,2.4012181914452486
lora_k10,0.0,0.0,32.08776092529297,25,50,1.3506509686437758
