extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent
16,all,28,0.1,0.8,33.77424621582031,6.677491393625159,True
16,all,28,0.2,0.84,34.69839859008789,9.59646866175879,True
16,all,28,0.4,0.8,35.456512451171875,11.99100574111757,True
16,extract,1,1.0,0.48,33.730735778808594,6.540061701184642,True
22,all,28,0.1,0.88,38.157413482666016,20.521924379570788,True
22,all,28,0.2,0.8,40.906585693359375,29.20530973099457,True
22,all,28,0.4,0.8,42.8356819152832,35.298447807170454,True
22,extract,1,1.0,0.76,35.219024658203125,11.240889755445393,True
