k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.88,0.0,552.651611328125
10,0.88,0.0,4058.202880859375
15,0.88,0.0,985654.9375
20,0.88,0.0,25373340.0
30,0.88,0.0,63854428.0
40,0.88,0.0,24238534.0
