k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.96,0.92,26.456722259521484
10,0.96,0.92,27.709218978881836
15,0.96,0.96,31.051334381103516
20,0.96,0.88,31.419815063476562
30,0.96,0.88,33.27967071533203
40,0.96,0.92,34.08390426635742
