label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,0.88,0.94,18.514638900756836,25,50,0.0
steering,0.76,0.88,18.859210968017578,25,50,1.861079058077967
lora_k1,0.76,0.66,18.587905883789062,25,50,0.39572461242671914
lora_k3,0.0,0.0,18.73798370361328,25,50,1.2063146575724764
lora_k5,0.0,0.0,18.642383575439453,25,50,0.6899657906771018
lora_k10,0.0,0.0,18.731918334960938,25,50,1.1735548036814247
