k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,1.0,0.0,82696.9453125
10,1.0,0.0,191490.75
15,1.0,0.0,117495.9375
20,1.0,0.0,448590.8125
30,1.0,0.0,790995.125
40,1.0,0.0,210187.9375
