k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.8,0.16,32.83729934692383
10,0.8,0.24,33.20135498046875
15,0.8,0.32,35.136260986328125
20,0.8,0.12,36.94827651977539
30,0.8,0.16,42.38612747192383
40,0.8,0.12,43.08244705200195
