label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k,split
lora_k1,0.0,,24.81825065612793,45,0,1,val
lora_k3,0.0,,25.419322967529297,45,0,3,val
lora_k5,0.0,,25.744626998901367,45,0,5,val
lora_k10,0.0,,26.375993728637695,45,0,10,val
