component,layer,head,abs_delta
z,20,20,0.180908203125
z,12,8,0.18017578125
z,27,23,0.179931640625
z,5,1,0.1778564453125
z,11,7,0.177490234375
z,12,2,0.1768798828125
z,18,7,0.176513671875
z,5,22,0.1763916015625
z,25,7,0.176025390625
z,4,4,0.17578125
z,16,6,0.175537109375
z,10,3,0.1754150390625
z,24,7,0.1746826171875
z,10,5,0.1728515625
z,24,16,0.1722412109375
z,3,21,0.1719970703125
z,13,19,0.171630859375
z,21,10,0.171630859375
z,18,0,0.1693115234375
z,6,4,0.1685791015625
z,3,1,0.16845703125
z,5,18,0.168212890625
z,26,17,0.16796875
z,11,11,0.1666259765625
z,12,18,0.165771484375
z,14,7,0.1651611328125
z,4,18,0.1651611328125
z,23,13,0.1619873046875
z,4,20,0.161865234375
z,12,17,0.161376953125
z,4,2,0.1605224609375
z,4,1,0.1600341796875
z,14,9,0.159912109375
z,10,1,0.15966796875
z,23,5,0.159423828125
z,14,15,0.1590576171875
z,16,4,0.15869140625
z,6,22,0.15869140625
z,2,23,0.158447265625
z,6,9,0.1580810546875
z,3,18,0.1578369140625
z,10,13,0.1573486328125
z,19,1,0.1571044921875
z,18,22,0.156982421875
z,24,5,0.1568603515625
z,4,9,0.15625
z,3,22,0.154541015625
z,12,14,0.154296875
z,10,10,0.1527099609375
z,6,2,0.151611328125
z,11,13,0.1514892578125
z,15,3,0.1513671875
z,9,17,0.1513671875
z,4,7,0.151123046875
z,15,12,0.150390625
z,1,17,0.150390625
z,7,20,0.1497802734375
z,21,3,0.148681640625
z,11,12,0.1470947265625
z,10,8,0.14697265625
z,5,21,0.146484375
z,17,8,0.146240234375
z,7,14,0.1461181640625
z,6,11,0.1456298828125
z,7,4,0.1455078125
z,14,6,0.1455078125
z,3,11,0.1441650390625
z,0,12,0.1441650390625
z,10,16,0.1434326171875
z,10,6,0.142333984375
z,9,15,0.1417236328125
z,25,14,0.1417236328125
z,23,16,0.1414794921875
z,8,15,0.1405029296875
z,7,18,0.140380859375
z,8,10,0.139892578125
z,7,12,0.1396484375
z,20,21,0.138427734375
z,23,20,0.137939453125
z,16,7,0.1376953125
z,19,19,0.1375732421875
z,7,19,0.1373291015625
z,15,20,0.136474609375
