k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.96,0.88,23.37588119506836
10,0.96,0.88,29.05288314819336
15,0.96,0.56,30.890626907348633
20,0.96,0.08,31.788665771484375
30,0.96,0.04,39.01620864868164
40,0.96,0.12,40.77922821044922
