k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.88,0.0,552.6792602539062
10,0.88,0.0,4048.967529296875
15,0.88,0.0,985013.125
20,0.88,0.0,25254228.0
30,0.88,0.0,63710752.0
40,0.88,0.0,24170668.0
