component,layer,head,delta_margin
resid_pre,0,,-10.482421875
resid_pre,1,,-10.609375
resid_pre,2,,-10.828125
resid_pre,3,,-10.94140625
resid_pre,4,,-10.884765625
resid_pre,5,,-10.89453125
resid_pre,6,,-10.650390625
resid_pre,7,,-10.578125
resid_pre,8,,-9.50390625
resid_pre,9,,-8.490234375
resid_pre,10,,-7.2578125
resid_pre,11,,-7.1201171875
resid_pre,12,,-5.56640625
resid_pre,13,,-5.583984375
resid_pre,14,,-4.55078125
resid_pre,15,,-4.583984375
resid_pre,16,,-3.9765625
resid_pre,17,,-2.68359375
resid_pre,18,,-2.37109375
resid_pre,19,,-2.2109375
resid_pre,20,,-1.9140625
resid_pre,21,,-1.8515625
resid_pre,22,,-1.3203125
resid_pre,23,,-1.3359375
resid_pre,24,,-0.56640625
resid_pre,25,,-0.12890625
