k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,1.0,0.0,559122.125
10,1.0,0.0,1113561.25
15,1.0,0.0,20004888.0
20,1.0,0.0,14497775.0
30,1.0,0.0,19684338.0
40,1.0,0.0,1159511.75
