k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.92,0.8,18.890005111694336
10,0.92,0.36,19.486549377441406
15,0.92,0.0,19.869014739990234
20,0.92,0.24,20.721712112426758
30,0.92,0.6,20.954580307006836
40,0.92,0.52,21.86943817138672
