extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent,split
15,all,26,0.05,0.9777777777777777,23.42186737060547,0.08203108476879581,True,val
15,all,26,0.1,0.9777777777777777,23.44198989868164,0.16801498385580982,True,val
15,all,26,0.2,0.9777777777777777,23.491466522216797,0.37942942388587075,True,val
15,all,26,0.4,0.9555555555555556,23.556058883666992,0.6554336648888782,True,val
15,frac0.4-0.8,11,1.0,0.9333333333333333,23.568941116333008,0.710479660569797,True,val
15,extract,1,1.0,0.9555555555555556,23.440162658691406,0.16020715681075204,True,val
20,all,26,0.05,1.0,23.767305374145508,1.5580934525176127,True,val
20,all,26,0.1,1.0,24.254125595092773,3.63828440034462,True,val
20,all,26,0.2,1.0,25.122167587280273,7.347442353908262,True,val
20,all,26,0.4,0.9111111111111111,26.352190017700195,12.603348775389598,True,val
20,frac0.4-0.8,11,1.0,0.7333333333333333,26.29805564880371,12.372031711513994,True,val
20,extract,1,1.0,0.8888888888888888,24.006668090820312,2.580894345022335,True,val
