label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k,split
lora_k1,0.0,,26.912609100341797,45,0,1,val
lora_k3,0.0,,24.293611526489258,45,0,3,val
lora_k5,0.0,,24.02948760986328,45,0,5,val
lora_k10,0.0,,29.78913116455078,45,0,10,val
