label,category,refused,substantive,mean_len,n
baseline,hh,0.26666666666666666,0.7333333333333333,937.7333333333333,15
baseline,xstest,0.013333333333333334,0.98,1144.14,150
benign_long,hh,0.0,0.3333333333333333,164.06666666666666,15
benign_long,xstest,0.0,0.42,275.08666666666664,150
benign_short,hh,0.0,0.06666666666666667,144.73333333333332,15
benign_short,xstest,0.0,0.08,124.76666666666667,150
