k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.88,0.84,75.6944580078125
10,0.88,0.72,76.20742797851562
15,0.88,0.64,83.3184814453125
20,0.88,0.08,86.86042785644531
30,0.88,0.0,122.63040924072266
40,0.88,0.0,183.07643127441406
