k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.96,0.96,25.498777389526367
10,0.96,0.92,30.266878128051758
15,0.96,0.92,31.374271392822266
20,0.96,0.92,31.82437515258789
30,0.96,0.8,32.3411865234375
40,0.96,0.84,33.233158111572266
