component,layer,head,abs_delta
z,6,11,0.25424957275390625
z,12,9,0.25267791748046875
z,1,13,0.25109100341796875
z,1,8,0.25106048583984375
z,8,3,0.25103759765625
z,12,1,0.24777984619140625
z,7,3,0.24770355224609375
z,21,15,0.24762725830078125
z,3,7,0.24704742431640625
z,17,7,0.24263763427734375
z,10,14,0.23996734619140625
z,10,12,0.23888397216796875
z,12,4,0.23821258544921875
z,3,15,0.23798370361328125
z,1,14,0.23668670654296875
z,14,0,0.23645782470703125
z,2,0,0.235565185546875
z,1,11,0.23148345947265625
z,6,2,0.23064422607421875
z,4,13,0.23007965087890625
z,4,2,0.22930145263671875
z,15,3,0.22707366943359375
z,23,1,0.22666168212890625
z,3,5,0.22640228271484375
z,8,7,0.22592926025390625
z,2,13,0.22374725341796875
z,17,1,0.22292327880859375
z,22,8,0.22214508056640625
z,7,1,0.21938323974609375
z,20,13,0.21857452392578125
z,23,5,0.21767425537109375
z,1,5,0.21729278564453125
z,17,3,0.21610260009765625
z,14,4,0.21549224853515625
z,15,5,0.21511077880859375
z,14,2,0.21494293212890625
z,7,6,0.213714599609375
z,21,1,0.21190643310546875
z,1,4,0.21091461181640625
z,11,8,0.21033477783203125
z,4,6,0.20796966552734375
z,19,12,0.20641326904296875
z,14,11,0.20574188232421875
z,21,3,0.20538330078125
z,1,10,0.20447540283203125
z,3,4,0.2042388916015625
z,25,5,0.20284271240234375
z,21,14,0.20276641845703125
z,22,2,0.20146942138671875
z,3,13,0.19736480712890625
z,8,9,0.19686126708984375
z,24,7,0.19637298583984375
z,7,8,0.19539642333984375
z,12,8,0.19480133056640625
z,23,3,0.1944427490234375
z,7,9,0.19229888916015625
z,6,4,0.1921234130859375
z,9,1,0.19168853759765625
z,27,5,0.19112396240234375
z,12,15,0.19097137451171875
z,3,3,0.18968963623046875
z,9,11,0.18781280517578125
z,5,12,0.18741607666015625
z,12,12,0.185821533203125
z,4,0,0.18561553955078125
z,3,2,0.18311309814453125
z,13,12,0.18169403076171875
z,4,12,0.18143463134765625
z,12,7,0.18099212646484375
z,16,0,0.17766571044921875
z,20,1,0.17681121826171875
z,5,6,0.17443084716796875
z,6,8,0.1739349365234375
z,13,5,0.17363739013671875
z,9,15,0.17250823974609375
z,15,12,0.17232513427734375
z,12,13,0.17230987548828125
z,14,3,0.17130279541015625
z,5,11,0.17047882080078125
z,21,0,0.16591644287109375
z,18,1,0.16298675537109375
z,24,14,0.16089630126953125
z,14,6,0.16075897216796875
z,21,12,0.16001129150390625
z,17,4,0.15856170654296875
z,19,8,0.158111572265625
z,13,8,0.15721893310546875
z,1,2,0.15715789794921875
z,13,9,0.15697479248046875
z,20,12,0.15540313720703125
z,8,12,0.15340423583984375
z,22,0,0.15279388427734375
z,18,3,0.15254974365234375
z,7,0,0.15209197998046875
z,27,15,0.14955902099609375
z,14,15,0.14911651611328125
z,8,13,0.1489410400390625
z,22,14,0.14864349365234375
z,25,7,0.14685821533203125
z,25,2,0.14664459228515625
z,3,0,0.14530181884765625
z,9,0,0.14530181884765625
z,24,0,0.14525604248046875
z,21,6,0.14498138427734375
z,26,15,0.14467620849609375
z,26,3,0.14426422119140625
z,23,0,0.14418792724609375
z,23,11,0.14109039306640625
z,10,1,0.14070892333984375
z,4,9,0.14017486572265625
z,20,4,0.13939666748046875
z,16,2,0.13857269287109375
z,13,0,0.13631439208984375
z,3,12,0.13614654541015625
z,23,4,0.13584136962890625
z,1,12,0.13555145263671875
z,22,12,0.13475799560546875
z,18,6,0.13397216796875
z,26,0,0.13346099853515625
z,13,15,0.13277435302734375
z,15,13,0.13025665283203125
z,14,7,0.12833404541015625
z,18,7,0.12708282470703125
z,9,14,0.12442779541015625
z,26,4,0.12403106689453125
z,20,2,0.1239013671875
z,26,8,0.12332916259765625
z,19,14,0.1231536865234375
z,15,14,0.122772216796875
z,4,3,0.12274169921875
z,18,8,0.12042999267578125
z,8,6,0.12000274658203125
z,24,9,0.1170654296875
z,16,6,0.11650848388671875
z,19,11,0.11582183837890625
z,24,12,0.11473846435546875
z,6,10,0.11202239990234375
z,22,1,0.11112213134765625
z,21,10,0.10950469970703125
z,19,15,0.10894775390625
z,21,13,0.10875701904296875
z,17,8,0.10875701904296875
z,14,1,0.1085968017578125
z,18,0,0.10617828369140625
z,16,4,0.10524749755859375
z,24,3,0.1051483154296875
z,24,15,0.103607177734375
