k,refusal_rate_clean,refusal_rate_ablated,perplexity_ablated
5,0.8,0.16,32.84263610839844
10,0.8,0.24,33.21174240112305
15,0.8,0.32,35.14021682739258
20,0.8,0.12,36.95289993286133
30,0.8,0.16,42.375518798828125
40,0.8,0.08,43.22719192504883
