label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k
lora_k1,0.04,0.08,19.625173568725586,25,50,1
lora_k3,0.0,0.0,18.548898696899414,25,50,3
lora_k5,0.0,0.0,18.71317481994629,25,50,5
lora_k10,0.0,0.0,18.675188064575195,25,50,10
