label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,1.0,0.94,18.196788787841797,25,50,0.0
steering,0.72,0.24,18.566570281982422,25,50,2.0321249999213866
lora_k1,0.04,0.08,19.625173568725586,25,50,7.849653021406534
lora_k3,0.0,0.0,18.548898696899414,25,50,1.9350112438128633
lora_k5,0.0,0.0,18.71317481994629,25,50,2.8377865903983897
lora_k10,0.0,0.0,18.675188064575195,25,50,2.6290313214661336
