label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k,split
lora_k1,0.0,,636.8328247070312,45,0,1,val
lora_k3,0.0,,318.7789001464844,45,0,3,val
lora_k5,0.0,,125.03804779052734,45,0,5,val
lora_k10,0.0,,76.94889831542969,45,0,10,val
