extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent,split
10,all,18,0.05,0.9111111111111111,61.95321273803711,-0.11313693573145504,True,val
10,all,18,0.1,0.8888888888888888,61.94352340698242,-0.12875899698494217,True,val
10,all,18,0.2,0.7777777777777778,61.921791076660156,-0.16379792728459422,True,val
10,all,18,0.4,0.6666666666666666,61.93224334716797,-0.14694578246784037,True,val
10,frac0.4-0.8,8,1.0,0.4666666666666667,61.4129638671875,-0.9841775581340567,True,val
10,extract,1,1.0,0.8444444444444444,61.970943450927734,-0.08454979372113686,True,val
14,all,18,0.05,0.9333333333333333,62.096092224121094,0.11722696357931683,True,val
14,all,18,0.1,0.9111111111111111,62.150245666503906,0.20453829489998743,True,val
14,all,18,0.2,0.8888888888888888,62.28627014160156,0.423849893394808,True,val
14,all,18,0.4,0.8444444444444444,62.4535026550293,0.6934780600450531,True,val
14,frac0.4-0.8,8,1.0,0.7555555555555555,62.521793365478516,0.8035828397930557,True,val
14,extract,1,1.0,0.9111111111111111,62.01049041748047,-0.020788412219207287,True,val
