label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k
lora_k1,0.0,0.0,1388.3798828125,25,50,1
lora_k3,0.0,0.0,238.3804473876953,25,50,3
lora_k5,0.0,0.0,271.5973205566406,25,50,5
lora_k10,0.0,0.0,113.1331787109375,25,50,10
