label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,perplexity_pct_change
baseline,0.88,0.82,62.02178955078125,25,50,0.0
steering,0.6,0.66,61.92258834838867,25,50,-0.15994572731790604
lora_k1,0.0,0.0,1388.3798828125,25,50,2138.535670880221
lora_k3,0.0,0.0,238.3804473876953,25,50,284.3495150885929
lora_k5,0.0,0.0,271.5973205566406,25,50,337.90629474543994
lora_k10,0.0,0.0,113.1331787109375,25,50,82.40876235650707
