label,refusal_rate,jailbreak_refusal_rate,perplexity,n_eval,n_jailbreak,k,split
lora_k1,0.0,,38.888763427734375,45,0,1,val
lora_k3,0.0,,41.181907653808594,45,0,3,val
lora_k5,0.0,,39.915374755859375,45,0,5,val
lora_k10,0.0,,44.59769821166992,45,0,10,val
