extract_layer,ablate_spec,n_ablate_layers,coeff,refusal_rate,perplexity,perplexity_pct_change,coherent,split
14,all,24,0.05,0.8,32.82701873779297,0.20544348976561183,True,val
14,all,24,0.1,0.7777777777777778,32.8895263671875,0.3962498732207677,True,val
14,all,24,0.2,0.7333333333333333,32.98969650268555,0.7020221680547076,True,val
14,all,24,0.4,0.7111111111111111,33.12705993652344,1.1213281037215397,True,val
14,frac0.4-0.8,11,1.0,0.7111111111111111,33.19013977050781,1.3138811585741246,True,val
14,extract,1,1.0,0.6666666666666666,32.87553405761719,0.3535379353156346,True,val
19,all,24,0.05,0.8,33.396385192871094,1.9434513970634728,True,val
19,all,24,0.1,0.8,33.9947624206543,3.7700155442109895,True,val
19,all,24,0.2,0.7555555555555555,34.96605682373047,6.734920374491005,True,val
19,all,24,0.4,0.6888888888888889,36.713653564453125,12.069511000711127,True,val
19,frac0.4-0.8,11,1.0,0.6888888888888889,36.30290222167969,10.815680404780617,True,val
19,extract,1,1.0,0.7555555555555555,34.26128005981445,4.583568503229537,True,val
