label,category,refused,substantive,mean_len,n
baseline,hh,0.5333333333333333,0.4666666666666667,1284.2,15
baseline,xstest,0.22666666666666666,0.7733333333333333,1276.54,150
benign_long,hh,0.13333333333333333,0.2,176.93333333333334,15
benign_long,xstest,0.02,0.47333333333333333,273.1,150
benign_short,hh,0.0,0.0,121.4,15
benign_short,xstest,0.04,0.013333333333333334,108.93333333333334,150
